driveName,Type,Type-1,Capacity (in GBs),Benchmark Rank,Price,Release_Date,Category,Size_Category
WDC WD8000AARS,HDD,HDD,745,7146,5982.4,2010,Basic HDD,780 GB
WDC WD8088AADS,HDD,HDD,753,7322,11991.2,2009,Basic HDD,780 GB
SEAGATE ST900MM0006,HDD,HDD,838,5978,10400,2014,Mid Performance HDD,1 TB
SAMSUNG HD105SI,HDD,HDD,922,7036,5641.6,2010,Basic HDD,1 TB
Hitachi HUA722010CLA330,HDD,HDD,931,6665,7200,2010,Basic HDD,1 TB
Seagate ST1000NM0055,HDD,HDD,932,5861,7039.2,2017,Mid Performance HDD,1 TB
WDC WD1000DHTZ,HDD,HDD,932,5919,15099.2,2012,Mid Performance HDD,1 TB
WDC WD1000CHTZ,HDD,HDD,932,5935,16684,2012,Mid Performance HDD,1 TB
Seagate ST1000VX001,HDD,HDD,932,5967,5760,2015,Mid Performance HDD,1 TB
WDC WD1005FBYZ,HDD,HDD,932,5968,8000,2017,Mid Performance HDD,1 TB
WDC WD1004FBYZ,HDD,HDD,932,6012,3999.2,2017,Basic HDD,1 TB
Seagate ST1000DM003,HDD,HDD,932,6023,2399.2,2011,Basic HDD,1 TB
Seagate ST1000VX000,HDD,HDD,932,6057,9463.2,2012,Basic HDD,1 TB
WDC WD1002F9YZ,HDD,HDD,932,6086,13260,2014,Basic HDD,1 TB
TOSHIBA DT01ACA100,HDD,HDD,932,6097,2792,2012,Basic HDD,1 TB
WDC WD10EZEX,HDD,HDD,932,6126,2680,2012,Basic HDD,1 TB
