,GPU_Name,brand,model,memory,memory_interface,clock_speed,Price
79,"ASUS Dual AMD Radeon RX 6700 XT Standard Edition 12GB GDDR6 Gaming Graphics Card (AMD RDNA 2, PCIe 4.0, 12GB GDDR6 Memory, HDMI 2.1",ASUS, RX 6700 XT Standard Edition , 12 GB , GDDR6 , 2622 MHz ,39190.40
80,Gigabyte AORUS Radeon RX 6700 XT ELITE 12GB Graphics Card,Gigabyte, AORUS RX 6700 XT ELITE , 12 GB , GDDR6 , 2622 MHz ,108000.00
81,NVIDIA GeForce RTX 2080 Super Founders Edition Graphics Card,NVIDIA, GeForce RTX 2080 SUPER , 8 GB , GDDR6 , 1815 MHz ,103996.00
82,MSI Gaming GeForce RTX 2080 Super 8GB GDRR6 256-Bit HDMI/DP Nvlink Tri-Frozr Turing Architecture Overclocked Graphics Card,MSI, GeForce RTX 2080 SUPER , 8 GB , GDDR6 , 1845 MHz ,47920.00
83,"EVGA, GeForce RTX 2080 Super Black Gaming, 8GB GDDR6",EVGA, GeForce RTX 2080 Super , 8 GB , GDDR6 , 1815 MHz ,95996.00
84,"GIGABYTE GeForce RTX 2080 Super Windforce OC 8G Graphics Card, 3X Windforce Fans, 8GB 256-Bit GDDR6",Gigabyte, GeForce RTX 2080 Super , 8 GB , GDDR6 , 1830 MHz ,38320.00
85,ASUS GeForce RTX 2080 Super Overclocked 8G GDDR6 Dual-Fan EVO V2 Edition VR Ready HDMI DisplayPort 1.4 Graphics Card,ASUS, GeForce RTX 2080 SUPER , 8 GB , GDDR6 , 1860 MHz ,47920.00
86,ASUS ROG Strix GeForce RTX 2080 Super Advanced Overclocked 8G GDDR6 HDMI DP 1.4 USB Type-C Gaming Graphics Card ,ASUS, ROG Strix GeForce RTX 2080 , 8 GB , GDDR6 , 1860 MHz ,303999.20
87,"EVGA GeForce RTX 2080 Super FTW3 Ultra, Overclocked, 2.75 Slot Extreme Cool Triple + iCX2, 65C Gaming, RGB, Metal Backplate, 8GB",EVGA, GeForce RTX 2080 SUPER , 8 GB , GDDR6 , 1845 MHz ,55999.20
88,"EVGA GeForce RTX 2080 Super XC Ultra, Overclocked, 2.75 Slot Extreme Cool Dual, 70C Gaming, RGB, Metal Backplate, 8GB GDDR6",EVGA, GeForce RTX 2080 Super , 8 GB , GDDR6 , 1845 MHz ,42055.20
89,MSI GAMING GeForce RTX 2080 8GB GDRR6 256-bit HDMI/DP/USB Ray Tracing Turing Architecture Graphics Card (RTX 2080 VENTUS 8G OC),MSI, RTX 2080 VENTUS 8G OC , 8 GB , GDDR6 , 1800 MHz ,31920.00
90,"Gigabyte AORUS GeForce RTX 2080 8G Graphics Card, 3X Stacked Windforce Fans, 8GB 256-Bit GDDR6, GV-N2080AORUS-8GC Video Card",Gigabyte, GV-N2080AORUS-8GC , 8 GB , GDDR6 , 1890 MHz ,52720.00
92,"ZOTAC GAMING GeForce RTX 2080 Twin Fan 8GB GDDR6 256-bit Gaming Graphics Card, IceStorm 2.0 Cooling, Active Fan Control, Metal Backplate, Spectra Lighting, ZT-T20800G-10P",ZOTAC, ZT-T20800G-10P , 8 GB , GDDR6 , 1710 MHz ,40000.00
93,ASUS GeForce RTX 2080 O8G ROG STRIX OC Edition GDDR6 HDMI DP 1.4 Type-C graphics card,Asus, ROG Strix RTX2080 O8G Gaming , 8 GB , GDDR6 , 1890 MHz ,115999.20
95,"Gigabyte GeForce RTX 2080 Windforce 8G Graphics Card, 3X Windforce Fans, 8GB 256-Bit GDDR6, GV-N2080WF3-8GC Video Card",Gigabyte, GeForce RTX 2080 Windforce , 8 GB , GDDR6 , 1830 MHz ,39849.60
96,"Gigabyte 8GD GeForce RTX 2070 Super Windforce OC 8G Graphics Card, 3X Windforce Fans, 8GB 256-Bit GDDR6, Video Card",Gigabyte, Windforce OC , 8 GB , GDDR6 , 1785 MHz ,53440.00
97,NVIDIA GeForce RTX 2070 Super Founders Edition Graphics Card,NVIDIA, Founders Edition , 8 GB , GDDR6 , 1770 MHz ,38320.00
98,MSI Gaming GeForce RTX 2070 Super 8GB GDRR6 256-Bit HDMI/DP Nvlink Twin-Froze Turing Architecture Overclocked Graphics Card ,MSI, GeForce RTX 2070 SUPER , 8 GB , GDDR6 , 1800 MHz ,47199.20
99,"EVGA GeForce RTX 2070 Super Gaming, 8GB GDDR6",EVGA, GeForce RTX 2070 SUPER , 8 GB , GDDR6 , 1770 MHz ,43120.00
100,"EVGA GeForce RTX 2070 Super XC ultra gaming, 8GB GDDR6, Dual HDB Fans, RGB LED, Metal Backplate",EVGA, GeForce RTX 2070 SUPER , 8 GB , GDDR6 , 1800 MHz ,37996.00
101,"Gigabyte GeForce RTX 2070 Super Gaming OC 8G Graphics Card, 3X Windforce Fans, 8GB 256-Bit GDDR6, Video Card",Gigabyte, GeForce RTX 2070 Super , 8 GB , GDDR6 , 1815 MHz ,42399.20
102,Asus GeForce RTX 2070 Super Overclocked 8G EVO GDDR6 Dual-Fan Edition VR Ready HDMI DisplayPort Gaming Graphics Card ,ASUS, GeForce RTX 2070 SUPER , 8 GB , GDDR6 , 1845 MHz ,39528.80
103,"EVGA Corporation Graphics Card - GF RTX 2070 Super - 8 GB GDDR6 - PCIe 3.0 x16 - HDMI, 3 x DisplayPort, USB-C",EVGA, GeForce RTX 2070 SUPER , 8 GB , GDDR6 , 1770 MHz ,63920.00
104,ASUS ROG STRIX GeForce RTX 2070 SUPER Advanced Overclocked 8G GDDR6 HDMI DisplayPort USB Type-C Gaming Graphics Card,ASUS, GeForce RTX 2070 SUPER , 8 GB , GDDR6 , 1830 MHz ,38748.80
105,"EVGA GeForce RTX 2070 Super XC Gaming, 8GB GDDR6, Dual HDB Fans, RGB LED",EVGA, GeForce RTX 2070 SUPER , 8 GB , GDDR6 , 1800 MHz ,37579.20
106,MSI Gaming GeForce RTX 2070 Super 8GB GDRR6 256-bit HDMI/DP NVLink Torx Fan Turing Architecture Overclocked G-SYNC Graphics Card ,MSI, GeForce RTX 2070 SUPER , 8 GB , GDDR6 , 1785 MHz ,32800.00
107,"EVGA GeForce GTX 1080 Ti FTW3 Gaming, 11GB GDDR5X, iCX Technology - 9 Thermal Sensors & RGB LED G/P/M, 3X Async Fan Control, Optimized Airflow Design Graphics Card 11G-P4-6696-KR",EVGA, GeForce GTX 1080 Ti FTW3 Gaming , 11 GB , GDDR5X , 1683 MHz ,42320.00
